"Date","Time","Symbol","Strike","Root","Expiration Date","Option","Qty","Open Interest","Trades Count","Option Volume","Total Trade Notional - Spot","Total Trade Premium","Total Edge","Contract Edge","Exchange Sequence Number","Price","Price Change","Theo","Theo Iv","Type","Exchange","Condition","Canceled Condition","Bid","Ask","Market","Premium","Spot Moneyness","Time Until Expiration","Trade Iv","Trade Iv Change","Trade Delta","Trade Gamma","Trade Vega","Trade Theta","Trade Rho","Underlying Bid","Underlying Ask","Market - Underlying","Underlying Trade Price","Underlying Change From Close","Underlying Change From Open","OnBidAsk","Market Condition"
"2024-06-26","10:48:39:331","AMZN",210,"AMZN","2024-08-02T04:00:00.000Z","AMZN(W) Aug02 210.00 C",105,"1568.00",48,337,2010864,34335,"831.41","7.92",334315956,"3.27","1.11","3.19","0.37","C","PHLX","SingLegAuctNonISO","Normal Trade","3.15","3.30","3.15 x 3.30","3.27","1.10",37.237152099609375,"37.10","0.01","0.26","0.01","0.20","-0.10","0.05","191.50","191.52","191.50 x 191.52","191.52","5.18","4.78","I","I"
"2024-06-26","10:32:32:926","AMZN",190,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 190.00 C",105,"35803.00",5719,36048,1995210,19110,"93.92","0.89",262485590,"1.82","1.07","1.83","0.30","C","MRX","SingLegAuctNonISO","Normal Trade","1.80","1.84","1.80 x 1.84","1.81","1.00",2.2482640743255615,"29.38","0.01","0.52","0.09","0.06","-0.44","0.01","190.01","190.03","190.01 x 190.03","190.02","3.68","3.28","I","I"
"2024-06-26","10:55:13:559","AMZN",197.5,"AMZN","2024-07-05T04:00:00.000Z","AMZN(W) Jul05 197.50 C",105,"1851.00",340,1706,2005657,9870,"325.04","3.10",243305918,"0.94","0.56","0.91","0.25","C","MIAX","AutoExecution","Normal Trade","0.94","0.94","0.94 x 0.94","0.94","1.03",9.232568740844727,"24.99","-0.00","0.22","0.04","0.09","-0.12","0.01","191.00","191.03","191.00 x 191.03","191.02","4.68","4.28","A","K"
"2024-06-26","10:31:35:761","AMZN",200,"AMZN","2024-08-16T04:00:00.000Z","AMZN Aug16 200.00 C",104,"39225.00",295,2596,1973972,63440,"1030.18","9.91",258140471,"6.10","1.08","6.00","0.33","C","MRX","AutoExecution","Normal Trade","6.00","6.10","6.00 x 6.10","6.10","1.05",51.248958587646484,"33.55","0.00","0.39","0.02","0.27","-0.09","0.10","189.79","189.82","189.79 x 189.82","189.83","3.49","3.09","A","I"
"2024-06-26","10:23:42:034","AMZN",190,"AMZN","2024-07-12T04:00:00.000Z","AMZN(W) Jul12 190.00 C",104,"6773.00",241,1041,1964768,37440,"155.97","1.50",219369796,"3.60","0.84","3.59","0.24","C","NASD","AutoExecution","Normal Trade","3.55","3.60","3.55 x 3.60","3.60","1.01",16.25458335876465,"24.00","0.00","0.49","0.04","0.16","-0.12","0.04","188.91","188.93","188.91 x 188.93","188.92","2.58","2.18","A","I"
"2024-06-26","10:19:32:006","AMZN",162.5,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 162.50 P",104,"1124.00",10,369,1963104,104,"77.89","0.75",204187193,"0.01","-0.00","0.02","0.75","P","MRX","AutoExecution","Normal Trade","0.01","0.02","0.01 x 0.02","0.01","0.86",2.2573609352111816,"70.95","0.12","-0.00","0.00","0.00","-0.01","-0.00","188.75","188.77","188.75 x 188.77","188.76","2.42","2.02","B","I"
"2024-06-26","10:44:17:054","AMZN",190,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 190.00 C",103,"35803.00",7380,44351,1963077,22042,"47.46","0.46",311881035,"2.14","1.38","2.14","0.30","C","MRX","SingLegAuctNonISO","Normal Trade","2.15","2.17","2.15 x 2.17","1.56","1.00",2.2401390075683594,"29.68","0.02","0.57","0.09","0.06","-0.44","0.01","190.58","190.60","190.58 x 190.60","190.58","4.24","3.84","L","I"
"2024-06-26","10:37:35:437","AMZN",180,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 180.00 P",103,"12885.00",198,1127,1956793,824,"8.96","0.09",283329485,"0.08","-0.08","0.08","0.39","P","CBOE","SingLegAuctNonISO","Normal Trade","0.07","0.08","0.07 x 0.08","0.08","0.95",2.244860887527466,"38.73","0.08","-0.04","0.01","0.01","-0.07","-0.00","189.97","189.99","189.97 x 189.99","189.98","3.64","3.24","A","I"
"2024-06-26","10:37:35:437","AMZN",180,"AMZN","2024-06-28T04:00:00.000Z","AMZN(W) Jun28 180.00 P",103,"12885.00",197,1024,1956793,824,"8.96","0.09",283329484,"0.08","-0.08","0.08","0.39","P","CBOE","SingLegAuctNonISO","Normal Trade","0.07","0.08","0.07 x 0.08","0.08","0.95",2.244860887527466,"38.73","0.08","-0.04","0.01","0.01","-0.07","-0.00","189.97","189.99","189.97 x 189.99","189.98","3.64","3.24","A","I"
"2024-06-26","10:32:32:072","AMZN",192.5,"AMZN","2024-07-12T04:00:00.000Z","AMZN(W) Jul12 192.50 C",103,"735.00",181,1365,1956433,31415,"831.33","8.07",262313750,"3.05","1.12","2.97","0.24","C","MIAX","IntermarketSweep","Normal Trade","2.97","3.05","2.97 x 3.05","3.05","1.01",16.24826431274414,"24.53","0.00","0.43","0.04","0.16","-0.12","0.04","189.94","189.95","189.94 x 189.95","190.00","3.66","3.26","A","I"
